date, pm25, pm10, o3, no2, so2, co
2024/5/14, 153, 278, 4, 34, 8, 46
2024/5/15, 179, 125, 25, 29, 2, 6
2024/5/16, 124, 286, 17, 41, 3, 12
2024/5/17, 175, 231, 8, 40, 3, 14
2024/5/18, 165, 196, 9, 28, 4, 6
2024/5/19, 169, 176, 10, 29, 3, 6
2024/5/20, 155, 224, 12, 25, 3, 6
2024/5/21, 146, 134, 13, 16, 3, 5
2024/5/22, 133, 103, 13, 12, 3, 3
2024/5/23, 90, 103, 13, 12, 3, 4
2024/5/24, 101, 136, 17, 14, 3, 5
2024/5/25, 135, 175, 14, 20, 4, 12
2024/5/26, 152, 273, 25, 20, 3, 21
2024/5/27, 179, 177, 28, 19, 3, 11
2024/5/28, 150, 213, 26, 19, 3, 6
2024/5/29, 155, 158, 55, 14, 5, 7
2024/5/30, 149, 159, 56, 20, 4, 11
2024/5/31, 154, 490, 25, 12, 4, 11
2024/6/1, 145, 190, , , , 
2024/6/2, 165, 152, 27, 25, 5, 12
2024/6/3, 129, 210, 28, 28, 4, 12
2024/6/4, 165, 235, 25, 20, 5, 7
2024/6/5, 144, 118, 24, 19, 6, 8
2024/6/6, 131, 241, 37, 15, 5, 6
2024/6/7, 117, 138, 29, 24, 5, 10
2024/6/8, 119, 124, 18, 16, 7, 7
2024/6/9, 134, 130, 44, 21, 8, 8
2024/6/10, 125, 145, 31, 34, 4, 15
2024/6/11, 130, 173, 33, 37, 2, 13
2024/6/12, 137, 150, 22, 25, 1, 11
2024/6/13, 125, 187, 20, 13, 1, 6
2024/6/14, 108, 133, 25, 11, 2, 8
2024/6/15, 93, 145, 27, 15, 2, 33
2024/6/16, 128, 104, 21, 12, 2, 4
2024/6/17, 79, 152, 20, 16, 2, 6
2024/6/18, 143, 202, 19, 13, 2, 7
2024/6/19, 123, 237, 27, 11, 7, 6
2024/6/20, 118, 113, 21, 20, 7, 2
2024/6/21, 155, 132, 31, 22, 6, 4
2024/6/22, 202, 98, 28, 12, 6, 3
2024/6/23, 166, 103, 23, 13, 7, 4
